"donor_id","CD8-positive, alpha-beta T cell","gamma-delta T cell","regulatory T cell","naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell","CD4-positive, alpha-beta cytotoxic T cell","CD4-positive, alpha-beta T cell","mucosal invariant T cell","double negative thymocyte"
"456_457",0,52,16,96,6,275,21,15,242,30,0,4,1
"457_458",0,109,37,227,76,242,8,82,239,18,1,8,0
"458_459",0,22,29,237,37,392,28,20,204,5,0,8,2
"459_460",0,10,29,326,21,447,19,20,59,4,1,1,0
"460_461",0,6,12,561,63,196,29,5,150,8,0,16,1
"461_462",0,10,15,493,167,293,23,17,156,39,0,1,1
"462_463",0,15,25,244,5,283,37,12,347,11,0,0,0
"463_464",0,15,10,376,24,245,12,6,261,11,0,0,0
"464_465",0,3,22,197,24,471,45,46,222,42,0,10,1
"465_466",0,19,35,262,31,262,17,5,116,8,1,9,3
"466_467",0,4,35,282,37,372,48,7,54,4,1,19,4
"467_468",1,10,28,299,36,365,41,17,375,18,2,2,1
"468_469",2,128,31,177,44,182,46,4,79,47,2,10,2
"469_470",2,5,16,264,45,280,17,7,382,37,2,5,1
"470_471",0,21,13,86,4,199,33,8,288,8,0,1,0
"471_472",0,20,31,402,58,396,41,15,91,1,0,12,1
"472_473",1,13,29,146,34,171,40,11,395,42,0,4,3
"473_474",0,6,89,327,199,546,46,39,48,7,1,8,1
"474_475",0,21,39,300,4,202,17,1,31,4,0,14,1
"475_476",0,23,17,192,240,472,24,16,140,43,4,8,0
"476_477",0,5,47,240,90,708,65,18,98,14,0,13,4
"477_478",0,12,46,251,214,449,48,25,65,3,1,25,1
"478_479",0,27,34,313,42,190,32,2,208,78,1,4,0
"479_480",1,15,25,19,1,126,40,7,447,133,2,13,1
"480_481",0,6,62,316,27,347,71,19,144,12,2,7,1
"481_482",0,6,33,124,18,209,28,3,87,18,0,5,1
"482_483",0,22,40,386,193,267,50,13,71,5,1,23,1
"483_484",0,30,64,321,25,362,36,8,178,11,3,4,1
"484_485",1,25,35,430,43,297,55,16,239,31,0,20,1
"485_486",0,6,61,410,37,552,50,20,51,11,0,0,0
"486_487",0,10,59,654,181,540,46,19,112,9,0,20,1
"487_488",0,4,62,263,31,270,17,4,67,9,0,4,3
"488_489",0,22,48,379,61,611,43,51,362,34,0,6,2
"489_490",0,7,49,498,129,254,17,25,74,4,0,5,3
"490_491",0,16,51,215,102,387,26,30,131,10,0,0,5
"491_492",0,7,22,160,70,235,9,7,33,7,1,0,1
"492_493",0,9,46,170,8,372,18,15,402,45,0,0,0
"493_494",0,17,63,179,34,397,32,44,154,31,1,4,1
"494_495",0,9,25,479,583,208,29,26,77,18,0,16,15
"496_497",1,20,49,241,68,192,25,7,137,14,0,3,1
"497_498",0,61,34,528,142,417,39,15,128,10,1,19,6
"498_499",0,28,21,303,114,316,54,21,179,18,1,3,2
"499_500",1,3,15,83,29,307,70,7,204,59,0,7,0
"500_501",0,17,15,111,27,167,27,4,151,100,0,5,1
"501_502",1,28,19,84,63,292,44,8,296,43,0,29,1
"502_503",0,12,57,181,34,175,20,11,228,30,1,9,0
"503_504",2,54,27,74,19,123,22,15,532,71,1,3,3
"504_505",1,4,38,238,32,306,6,7,27,2,2,0,0
"505_506",1,17,48,423,163,309,24,7,112,4,1,9,25
"506_507",1,24,29,214,45,290,49,16,266,13,2,3,1
"507_508",1,94,28,330,65,461,47,15,114,11,3,7,3
"508_509",0,21,13,94,4,245,20,5,564,42,2,7,1
"509_510",0,10,33,299,12,382,51,5,100,22,1,7,8
"510_511",2,10,40,319,37,419,66,10,231,16,1,7,2
"511_512",0,6,21,25,3,88,11,10,118,23,0,1,1
"512_513",0,7,45,358,5,379,32,11,107,7,1,16,1
"513_514",0,18,25,166,6,280,23,50,155,13,0,2,0
"514_515",0,1,44,150,19,372,38,18,110,12,1,12,2
"515_516",0,11,125,743,140,308,18,16,68,10,0,3,2
"516_517",1,14,66,286,134,389,45,28,129,17,0,11,3
"517_518",1,22,59,129,17,578,65,63,226,55,0,2,0
"519_520",0,1,24,317,4,232,10,1,6,5,0,1,0
"520_521",0,26,24,81,4,235,19,3,273,51,1,0,1
"521_522",0,11,23,46,46,250,23,10,228,6,1,9,2
"522_523",0,6,29,115,17,267,17,12,170,38,0,1,0
"524_525",0,6,41,164,36,350,32,30,63,2,2,6,18
"525_526",0,4,7,160,23,104,3,3,131,8,2,1,0
"526_527",0,8,42,306,89,250,30,14,54,14,0,7,1
"527_528",0,15,73,384,29,217,13,7,133,2,0,2,8
"528_529",1,6,26,65,16,114,3,7,64,3,0,1,1
"529_530",0,8,72,449,26,370,16,9,22,0,0,1,12
"530_531",0,7,28,116,9,134,9,13,54,6,0,1,5
"531_532",1,6,38,253,28,319,41,13,217,40,0,5,3
"532_533",0,29,24,26,1,92,4,4,241,10,2,8,1
"533_534",0,1,33,362,111,269,28,18,63,1,0,2,10
"534_535",0,18,18,38,16,107,21,9,399,17,0,5,1
"535_536",0,8,91,480,16,229,11,3,28,1,0,1,5
"536_537",0,27,44,82,30,474,49,17,288,39,1,7,11
"537_538",0,8,37,409,125,186,15,15,113,7,0,6,5
"538_539",0,23,44,477,53,216,29,25,290,16,0,0,2
"539_540",0,3,62,238,62,447,28,45,55,1,0,3,4
"540_541",1,15,83,334,60,551,45,33,171,2,1,8,3
"541_542",0,31,38,140,10,335,33,13,246,4,1,5,3
"542_543",0,4,44,658,54,366,20,25,48,1,0,10,1
"543_544",0,3,26,182,25,206,15,17,212,9,0,13,2
"544_545",0,13,18,144,26,186,21,42,575,12,0,1,0
"545_546",0,22,24,316,26,294,11,8,50,9,0,9,1
"546_547",0,17,26,63,21,530,33,37,142,2,1,14,2
"547_548",0,6,21,151,10,211,98,9,171,48,0,2,0
"548_549",0,20,29,418,290,280,24,21,60,0,0,10,0
"549_550",1,15,33,289,31,353,53,10,240,53,0,37,4
"550_551",0,2,28,305,9,342,13,3,136,16,1,6,1
"551_552",0,9,58,261,32,311,22,9,74,0,0,2,0
"552_553",2,20,40,334,302,497,75,56,239,30,0,15,4
"553_554",0,6,35,172,91,407,30,17,361,85,0,20,3
"554_555",0,5,53,469,15,299,13,7,46,12,0,4,0
"555_556",0,15,13,117,15,111,17,3,250,62,0,3,0
"557_558",0,9,31,346,122,186,5,10,81,11,0,0,0
"558_559",0,9,24,117,5,274,53,7,431,25,0,4,0
"559_560",0,21,41,190,83,529,25,59,209,14,3,3,1
"560_561",0,22,42,169,56,497,57,24,158,19,1,20,0
"561_562",0,39,89,361,85,435,39,45,104,16,0,18,1
"562_563",0,15,148,521,31,410,65,22,276,43,1,3,0
"563_564",0,14,68,159,15,299,24,30,228,21,0,2,0
"564_565",0,2,28,299,4,185,12,4,13,0,0,0,2
"565_566",0,44,17,91,105,309,63,19,172,6,0,5,1
"566_567",1,87,14,400,58,117,15,4,92,13,1,9,2
"567_568",0,21,48,662,55,432,44,10,359,38,0,2,3
"569_570",0,8,45,303,16,293,26,20,52,2,2,3,2
"570_571",0,13,30,388,80,312,40,6,135,15,1,18,1
"571_572",0,40,23,92,1,246,52,6,419,40,1,3,1
"572_573",0,36,42,269,17,304,28,8,235,26,3,0,0
"573_574",1,78,31,535,239,282,44,22,87,4,0,49,4
"574_575",0,39,24,261,122,311,31,32,125,13,1,17,0
"575_576",0,19,13,94,23,329,67,28,328,33,1,18,0
"576_577",0,32,68,566,27,474,33,11,94,16,2,6,3
"577_578",1,26,30,113,43,368,64,9,176,27,1,9,1
"578_579",0,7,28,649,269,238,37,13,137,6,1,35,1
"579_580",0,17,33,264,88,342,72,25,170,11,0,25,2
"580_581",0,8,37,270,74,140,17,10,73,2,1,11,2
"581_582",0,23,31,157,60,146,26,11,71,11,0,16,3
"582_583",0,28,48,404,154,213,32,7,28,3,0,20,4
"583_584",0,38,35,340,53,146,33,11,117,13,0,19,4
"584_585",0,20,20,110,48,119,14,12,313,88,1,0,1
"585_586",0,21,48,151,97,723,103,64,160,0,0,23,6
"586_587",0,27,26,129,85,311,26,17,144,20,1,26,7
"587_588",0,12,48,83,34,409,35,15,210,24,6,5,5
"588_589",0,10,48,322,38,408,10,9,17,4,2,2,2
"589_590",0,34,43,261,9,346,32,15,176,20,0,51,12
"590_591",0,4,33,174,30,229,36,10,295,3,0,6,3
"591_592",0,8,18,141,20,231,29,7,124,8,1,4,0
"592_593",3,52,14,47,9,233,76,9,226,24,0,14,4
"593_594",0,6,23,323,26,154,15,15,120,18,0,2,1
"594_595",0,9,38,199,8,284,24,3,223,31,0,1,0
"595_596",0,32,37,138,32,505,32,141,160,16,1,3,2
"596_597",0,10,32,190,57,406,26,20,145,18,1,9,1
"597_598",1,26,24,250,110,387,78,45,178,9,3,15,2
"598_599",0,3,18,425,171,219,6,16,11,1,0,0,0
"599_600",0,6,20,70,13,218,33,26,95,17,0,0,2
"600_601",1,19,26,396,156,189,28,18,123,16,0,17,3
"602_603",0,4,21,513,4,141,9,4,78,2,0,1,0
"603_604",0,84,29,133,4,217,19,3,61,5,0,5,1
"604_605",0,40,31,409,15,483,51,17,185,8,0,19,0
"605_606",0,51,23,293,28,409,28,28,226,6,3,12,2
"606_607",0,8,36,718,84,213,8,1,35,4,0,7,0
"607_608",2,8,3,132,5,141,12,5,76,18,1,3,0
"608_609",0,5,8,167,19,460,33,10,56,5,0,5,1
"609_610",0,3,16,302,76,457,65,25,46,3,1,8,1
"610_611",0,5,17,396,80,272,36,10,76,5,3,29,2
"611_612",0,29,7,345,14,239,22,4,262,39,1,10,8
"612_613",0,11,10,107,12,271,29,6,192,20,1,3,1
"613_614",0,1,16,368,33,272,13,4,29,0,0,4,0
"614_615",0,8,18,319,75,389,30,13,82,3,0,21,2
"615_616",0,17,11,366,68,224,37,5,123,9,0,34,2
"616_617",0,30,14,210,102,308,48,16,295,29,0,21,3
"617_618",0,11,4,209,54,211,22,9,267,24,1,13,3
"618_619",0,33,9,172,121,200,32,23,98,2,1,52,1
"619_620",0,21,1,346,106,118,16,5,130,20,0,25,3
"620_621",0,44,14,416,129,298,38,24,212,6,3,28,6
"621_622",0,37,28,229,34,325,31,21,161,8,2,6,4
"622_623",1,31,32,118,11,273,38,8,427,129,1,29,1
"623_624",0,6,14,132,22,174,5,9,61,5,1,3,2
"624_625",0,24,31,474,112,333,15,20,64,9,0,7,1
"625_626",0,2,38,152,27,265,22,5,70,11,0,3,4
"626_627",2,17,20,141,101,290,42,13,81,9,0,9,5
"627_628",0,10,42,159,3,296,28,1,81,4,2,1,2
"628_629",1,3,25,148,50,264,28,20,43,9,1,6,4
"629_630",1,14,20,294,131,214,34,11,84,9,0,23,5
"630_631",1,5,19,281,74,325,39,15,75,10,0,9,1
"632_633",0,13,8,23,4,145,16,13,220,11,0,12,0
"633_634",0,16,18,168,43,169,10,3,68,7,1,0,1
"634_635",0,6,7,112,22,247,41,60,214,19,2,0,0
"635_636",0,8,19,60,10,163,15,5,20,7,0,25,1
"636_637",0,11,16,77,27,123,17,3,95,24,0,2,1
"637_638",1,5,46,286,27,536,10,10,131,25,3,2,0
"638_639",0,3,31,610,12,529,28,31,55,7,0,8,2
"639_640",0,11,20,136,28,256,9,7,17,5,0,5,0
"640_641",2,24,14,87,14,335,18,3,136,29,1,11,1
"641_642",0,60,21,173,11,144,24,4,283,49,0,11,0
"644_645",0,48,22,248,133,388,80,17,158,19,0,4,13
"645_646",0,6,59,270,15,332,10,8,62,3,3,17,0
"646_647",0,18,28,417,21,111,1,3,51,5,3,1,0
"647_648",0,8,42,280,31,479,72,12,50,7,0,27,0
"648_649",0,10,9,52,19,153,46,11,298,64,0,5,0
"649_650",0,1,69,478,47,550,15,18,33,9,1,3,0
"650_651",1,4,79,279,32,1144,64,17,246,15,8,1,0
"651_652",0,1,22,99,21,228,16,6,25,1,0,14,4
"652_653",0,2,20,132,14,206,12,5,277,7,1,0,0
"653_654",0,16,27,51,2,181,27,28,397,16,0,13,0
"654_655",0,10,33,315,34,382,47,21,240,31,0,12,1
"655_656",1,5,22,228,57,264,21,13,396,103,1,3,5
"656_657",0,19,44,339,41,236,24,25,226,7,1,15,2
"657_658",0,41,21,124,12,385,41,9,253,4,0,19,1
"658_659",0,19,43,207,42,443,29,24,47,2,1,40,0
"659_660",0,21,20,223,92,299,31,18,29,2,0,35,0
"660_661",1,21,28,262,140,381,53,27,215,30,0,5,0
"661_662",0,3,30,261,15,390,18,7,124,15,1,5,3
"662_663",0,63,17,119,3,381,14,9,104,1,0,3,2
"663_664",1,7,13,99,5,286,30,8,155,3,0,0,0
"664_665",0,30,22,216,136,499,71,32,29,2,0,3,0
"665_666",0,18,31,418,129,488,49,19,172,4,1,8,4
"666_667",0,8,20,673,93,606,74,13,60,7,0,10,3
"667_668",0,30,19,167,76,496,84,38,407,59,0,7,2
"668_669",0,51,29,498,152,496,63,13,172,37,0,28,5
"669_670",0,23,12,215,183,240,14,15,76,10,3,5,3
"670_671",0,48,19,73,82,288,26,5,241,58,3,7,1
"671_672",0,5,9,51,14,144,15,4,147,20,2,18,6
"672_673",1,9,22,235,2,425,39,25,237,9,0,0,1
"673_674",0,8,21,41,5,287,63,14,186,18,1,1,3
"674_675",1,11,8,81,1,225,16,5,370,45,2,2,0
"675_676",0,15,16,114,9,260,41,15,520,30,0,3,0
"676_677",0,31,27,204,5,555,38,15,163,19,1,4,1
"677_678",0,28,8,179,8,400,22,7,381,64,4,1,2
"678_679",0,47,24,181,6,519,23,17,91,9,0,1,2
"679_680",0,15,16,221,2,308,18,8,86,19,1,8,0
"680_681",0,45,26,220,30,375,39,6,267,13,0,5,1
"681_682",2,10,11,492,8,293,42,37,169,10,0,1,0
"682_683",0,3,36,392,17,361,23,11,38,6,0,4,0
"683_684",1,2,27,144,9,243,38,29,312,236,0,9,0
"684_685",1,5,13,74,11,190,65,23,341,36,0,1,0
"685_686",1,7,29,169,54,199,52,26,492,17,0,3,5
"686_687",0,3,25,283,25,224,39,5,125,11,1,25,2
"687_688",0,7,42,287,100,323,36,29,141,23,0,53,0
"688_689",0,12,38,475,90,287,35,61,111,26,1,5,1
"689_690",0,6,65,673,93,281,50,19,117,14,0,11,1
"690_691",0,15,39,116,32,361,28,28,73,17,0,17,1
"691_692",0,5,33,369,36,467,47,17,179,18,0,8,1
"692_693",0,19,24,224,81,229,72,22,256,54,1,4,1
"693_694",0,25,18,198,10,181,27,5,102,52,0,12,1
"694_695",0,48,9,274,95,165,36,20,240,39,3,15,0
"695_696",0,55,15,34,6,170,27,10,171,24,0,10,1
"696_697",0,3,13,111,5,173,10,16,164,57,0,0,0
"697_698",0,10,17,48,6,95,23,11,363,43,1,2,0
"699_700",0,43,6,244,43,262,17,3,429,39,1,11,3
"700_701",0,20,39,624,84,745,30,24,72,3,0,11,1
"701_702",0,27,19,293,46,292,73,25,145,10,0,2,1
"702_703",0,9,9,88,14,136,24,7,65,11,0,0,2
"704_705",0,54,16,64,5,200,30,15,285,9,0,2,1
"705_706",0,23,9,61,39,344,46,9,177,21,0,8,0
"706_707",0,127,22,26,13,341,32,18,188,89,1,6,3
"707_708",0,30,16,167,33,612,25,14,108,6,5,2,5
"708_709",2,21,18,172,87,430,37,15,339,24,0,11,0
"709_710",0,16,11,393,359,369,43,26,42,4,0,16,1
"711_712",2,25,27,511,242,471,85,25,261,45,1,13,8
"714_715",0,5,21,66,10,262,36,7,279,49,0,14,0
"715_716",0,3,30,70,4,328,49,27,266,35,0,4,0
"716_717",0,7,17,211,24,262,16,10,38,9,0,17,1
"717_718",0,12,24,83,38,419,30,27,177,5,1,26,11
"718_719",1,9,23,168,29,192,4,2,257,2,0,4,0
"719_720",0,6,28,193,29,491,47,24,293,44,0,38,2
"720_721",0,15,28,79,13,225,11,37,35,0,1,8,3
"721_722",0,3,24,84,48,161,20,37,43,0,0,1,0
"722_723",0,17,30,178,14,342,7,13,47,5,0,18,1
"723_724",0,19,12,280,40,322,44,10,142,7,0,38,2
"724_725",0,38,19,200,31,237,34,6,105,7,2,14,2
"725_726",0,18,6,249,22,259,21,3,136,21,1,4,1
"726_727",0,1,5,96,14,209,30,6,234,12,0,6,0
"727_728",0,3,24,259,46,420,34,19,115,12,0,14,0
"729_730",0,8,14,276,44,189,17,3,200,11,3,5,2
"730_731",0,13,20,235,28,370,38,10,52,2,0,5,0
"731_732",0,11,16,285,20,229,17,12,259,13,0,8,1
"732_733",0,0,29,242,9,345,52,16,127,16,0,7,3
"733_734",0,1,6,62,4,73,8,1,178,65,0,1,0
"734_735",0,1,21,554,14,382,23,19,47,3,1,3,0
"735_736",1,30,37,418,33,432,31,26,100,5,0,10,3
"736_737",0,7,30,112,38,306,34,28,289,2,0,14,4
"737_738",0,2,17,133,4,158,27,15,56,40,3,2,0
"738_739",0,8,9,78,2,95,7,1,221,8,0,0,0
"739_740",0,14,6,12,2,96,6,1,231,14,3,1,1
"740_741",2,46,17,33,7,118,21,5,346,19,0,13,2
"742_743",0,10,26,543,73,202,23,4,18,3,0,8,2
"743_744",0,24,28,193,125,148,51,6,74,6,1,26,0
"744_745",0,3,61,518,169,528,29,9,61,9,0,14,1
"745_746",0,4,52,303,22,369,54,51,128,19,3,9,1
"746_747",0,5,20,120,3,260,15,4,60,1,0,2,3
"747_748",0,4,24,264,61,374,88,16,56,5,2,112,1
"748_749",0,15,18,285,16,436,16,5,249,21,0,1,1
"749_750",0,2,19,325,6,284,12,3,189,13,4,0,1
"750_751",1,2,9,129,12,146,14,2,148,11,0,1,4
"751_752",0,14,97,242,31,274,40,11,225,23,0,0,0
"752_753",2,42,62,90,9,618,42,22,615,39,1,11,2
"753_754",0,4,3,227,10,136,6,2,120,5,1,2,1
"754_755",1,15,16,399,41,797,31,13,48,1,5,0,0
"755_756",1,16,14,587,78,713,13,14,64,2,0,1,1
"756_757",0,1,7,199,48,478,11,9,21,0,0,1,0
"757_758",0,3,13,324,14,254,20,10,32,2,1,1,1
"758_759",0,5,6,292,38,289,30,12,220,26,0,0,4
"759_760",0,2,4,98,10,297,29,24,202,20,0,10,1
"760_761",0,7,8,168,20,474,78,27,172,19,0,3,1
"761_762",0,10,7,91,6,159,28,6,499,28,0,6,1
"762_763",0,30,10,533,229,275,12,18,191,1,3,2,1
"764_765",0,17,96,927,160,662,45,62,266,14,1,3,2
"765_766",1,15,62,643,84,491,62,26,344,24,0,2,2
"766_767",1,10,28,199,93,234,24,31,212,2,0,0,0
"767_768",0,28,59,385,98,445,56,70,173,18,2,6,3
"769_770",2,69,4,67,9,218,6,0,333,57,0,0,3
"770_771",0,9,9,183,16,235,10,3,36,2,1,16,3
"771_772",0,24,36,200,38,418,31,21,374,22,0,2,3
"772_773",0,12,38,322,88,790,98,27,206,32,4,8,5
"773_774",1,17,91,720,115,735,52,53,186,8,2,2,3
"774_775",0,13,50,279,76,374,33,40,322,23,0,2,4
"776_777",0,6,31,269,20,276,12,20,48,1,0,0,1
"779_780",2,32,6,262,65,277,24,18,278,16,3,2,3
"780_781",0,12,6,158,28,215,6,8,58,25,0,0,0
"781_782",0,10,10,195,111,347,28,20,166,5,1,7,1
"782_783",1,25,13,214,15,274,3,24,186,14,1,1,2
"783_784",1,9,16,126,34,389,25,8,80,7,1,7,2
"784_785",1,5,13,225,65,453,26,13,186,9,1,4,2
"786_787",1,17,36,309,25,369,21,18,202,13,2,4,14
"787_788",0,2,16,304,37,264,30,18,71,37,0,1,1
"788_789",0,17,17,299,34,316,10,25,93,2,3,0,7
"789_790",0,8,9,215,108,196,11,14,80,3,0,6,0
"790_791",0,7,36,262,23,314,13,12,26,5,0,21,5
"791_792",0,11,20,507,205,375,36,10,278,58,3,28,6
"793_794",0,4,8,72,4,71,8,1,18,3,0,0,1
"794_795",0,6,12,218,56,159,20,10,129,6,0,11,0
"795_796",0,11,9,413,54,194,80,16,77,5,2,17,3
"796_797",1,7,16,318,76,204,31,9,76,2,1,44,3
"797_798",0,7,18,384,15,447,15,5,52,8,2,0,0
"798_799",0,3,19,121,25,224,38,70,103,56,3,5,2
"799_800",0,5,6,148,31,183,17,5,109,37,2,11,0
"800_801",0,20,12,329,186,350,27,19,36,9,0,14,0
"801_802",0,28,13,269,20,308,25,11,72,6,0,3,3
"802_803",0,4,13,36,6,265,23,21,402,12,3,3,1
"803_804",0,0,20,404,23,287,1,7,8,2,0,0,4
"804_805",1,34,14,183,75,242,31,11,208,2,0,9,1
"805_806",0,42,7,153,9,170,11,11,197,18,0,3,0
"806_807",0,27,18,240,123,307,15,47,85,21,0,3,0
"807_808",0,13,12,296,95,209,25,24,91,4,1,1,2
"808_809",0,15,22,417,130,208,18,24,92,4,1,1,1
"809_810",0,27,10,74,20,315,138,59,412,120,1,19,0
"810_811",0,5,24,412,50,195,29,4,107,5,2,1,4
"811_812",0,12,22,191,93,340,25,36,137,8,1,4,4
"812_813",0,7,24,192,75,551,23,31,16,1,0,27,1
"813_814",0,7,16,153,10,608,25,19,174,36,0,4,1
"814_815",0,1,20,37,4,188,62,11,471,27,0,20,1
"815_816",0,7,26,120,21,359,48,29,244,30,3,19,1
"816_817",0,4,17,303,39,251,14,18,190,33,1,0,0
"818_819",0,17,42,726,6,724,45,13,119,14,0,11,2
"819_820",0,7,33,604,76,346,27,35,109,4,1,4,1
"821_822",0,10,18,185,12,215,31,17,690,22,0,3,1
"822_823",0,8,13,142,4,289,45,8,364,18,1,0,1
"823_824",0,25,32,544,19,417,12,20,270,21,2,3,0
"824_825",0,10,20,270,23,367,36,24,161,8,3,9,2
"825_826",1,20,49,462,55,696,75,21,106,15,1,3,0
"826_827",0,18,28,348,73,291,27,14,180,0,0,17,0
"827_828",0,22,49,429,33,452,23,17,88,18,1,7,2
"829_830",0,31,63,479,82,474,33,40,309,2,3,4,4
"830_831",0,11,42,382,55,477,81,36,323,10,0,2,1
"831_832",0,5,25,304,15,276,8,39,250,24,1,2,0
"832_833",0,48,61,617,61,686,54,43,247,6,0,9,2
"834_835",0,1,32,215,53,483,35,9,64,5,0,23,1
"835_836",0,2,18,408,24,229,23,11,47,3,0,11,0
"836_837",1,16,21,257,27,441,38,23,177,9,2,0,0
"838_839",1,5,30,253,62,415,32,83,98,1,0,4,1
"839_840",0,0,20,311,33,372,18,8,26,3,1,1,2
"840_841",0,1,32,494,31,468,34,14,274,16,1,2,5
"842_843",0,46,48,590,16,512,20,12,137,10,1,9,0
"843_844",0,51,36,251,46,366,41,47,213,6,3,9,0
"845_846",0,8,25,137,9,203,23,14,95,4,1,2,2
"846_847",0,9,33,244,59,252,22,49,318,65,0,0,0
"847_848",1,23,28,299,38,356,74,16,175,42,0,8,5
"848_849",0,8,51,554,22,368,20,8,63,14,0,2,2
"849_850",0,24,35,288,52,423,26,20,52,5,1,17,3
"850_851",0,38,29,151,27,230,26,34,248,14,0,7,2
"851_852",0,30,17,156,7,226,54,6,328,26,1,6,0
"852_853",0,5,19,368,52,415,40,11,50,10,0,5,1
"853_854",0,67,23,320,113,442,32,17,86,7,4,10,1
"854_855",0,16,16,361,54,446,33,22,120,13,0,1,0
"855_856",0,101,18,416,258,276,32,9,100,4,0,34,3
"856_857",0,23,23,267,135,394,73,15,184,23,0,34,2
"857_858",0,5,45,668,52,446,53,25,164,9,0,12,2
"858_859",0,15,11,388,241,240,23,22,50,0,0,30,1
"859_860",0,45,18,293,36,175,49,27,124,2,1,36,1
"860_861",0,26,30,265,77,360,46,18,78,2,1,16,4
"861_862",0,11,19,175,48,329,53,6,56,1,0,19,9
"862_863",0,78,16,178,185,237,24,15,131,3,0,15,1
"863_864",1,235,20,77,22,272,52,12,299,11,0,4,1
"864_865",0,13,47,244,37,583,68,26,63,2,0,20,5
"865_866",1,77,34,97,34,445,34,9,183,10,3,6,0
"866_867",0,5,18,189,22,172,32,9,71,9,0,1,0
"867_868",1,29,30,289,58,394,33,21,174,43,3,7,0
"868_869",0,14,46,617,49,415,42,29,122,21,0,45,8
"869_870",0,11,19,134,31,228,40,10,178,20,1,4,0
"870_871",1,23,46,174,89,418,55,15,154,58,2,10,2
"871_872",0,11,21,302,8,409,39,9,44,3,0,6,4
"872_873",0,24,42,262,35,318,31,28,465,45,0,8,2
"873_874",0,79,20,319,14,242,15,9,85,16,0,12,5
"874_875",0,5,33,484,96,388,42,22,122,11,1,8,5
"875_876",0,21,31,619,26,350,18,3,39,13,1,27,0
"876_877",0,1,29,533,36,504,12,11,25,4,2,0,3
"877_878",0,4,33,909,137,428,34,13,137,37,1,0,4
"878_879",2,25,22,239,4,175,16,1,292,11,3,3,0
"879_880",0,20,22,121,8,322,23,15,283,25,1,5,0
"880_881",1,24,14,294,40,197,12,5,104,10,4,6,0
"881_882",0,4,22,153,53,334,65,37,605,24,1,7,1
"882_883",0,30,20,276,12,263,25,16,57,5,0,7,3
"883_884",0,10,29,109,6,456,47,22,109,38,2,1,0
"884_885",0,21,21,225,10,307,23,32,174,67,0,12,1
"885_886",0,24,20,206,19,155,14,10,71,17,1,9,3
"886_887",1,10,31,373,17,257,27,15,443,36,1,5,6
"887_888",0,23,30,267,23,447,22,17,362,23,0,2,1
"888_889",0,2,28,127,18,238,13,11,60,2,0,4,0
"889_890",0,247,19,102,2,113,21,9,165,33,0,6,3
"890_891",0,15,38,285,52,488,32,9,61,2,3,12,4
"891_892",0,26,37,421,117,440,28,17,97,10,0,11,5
"892_893",2,14,16,169,21,250,23,20,245,130,1,0,2
"893_894",2,8,20,358,21,416,38,15,43,6,5,0,0
"894_895",0,9,22,271,14,252,5,12,128,8,1,4,0
"896_897",3,14,42,469,550,327,36,16,143,9,1,6,12
"898_899",0,18,20,229,22,357,17,12,127,4,1,6,0
"899_900",1,12,17,97,3,153,9,11,207,12,0,3,0
"900_901",0,5,27,238,62,275,19,7,103,27,0,4,3
"901_902",0,24,13,338,132,188,24,16,78,5,3,13,5
"902_903",1,8,15,58,6,193,9,10,228,5,2,1,3
"903_904",0,15,25,656,16,207,6,9,27,2,3,6,1
"904_905",0,17,30,391,83,194,25,27,139,2,0,37,3
"905_906",0,4,15,193,13,251,4,19,65,0,1,4,1
"906_907",2,18,12,227,38,247,10,9,70,5,1,6,3
"907_908",0,13,11,428,37,211,35,10,112,4,1,0,0
"908_909",0,37,24,275,36,254,58,16,119,23,2,22,4
"909_910",1,11,13,637,95,343,35,20,114,2,2,8,2
"910_911",1,30,18,525,193,264,35,20,223,12,0,1,1
"911_912",0,13,31,426,63,260,34,16,148,6,0,59,2
"912_913",1,7,42,190,77,440,29,21,91,4,2,10,2
"914_915",0,46,47,329,31,453,87,15,595,53,3,10,0
"915_916",0,21,28,278,22,322,60,9,123,6,2,4,6
"916_917",1,110,45,248,35,262,38,16,170,13,3,4,2
"917_918",0,38,23,519,18,259,23,9,222,14,0,4,2
"918_919",0,16,19,206,12,205,9,19,248,22,0,1,0
"920_921",0,13,6,86,7,73,10,2,30,0,0,31,0
"921_922",0,28,26,231,17,296,4,13,65,1,1,1,0
"922_923",1,7,4,186,29,118,8,4,431,8,2,6,0
"923_924",1,43,18,247,72,224,21,24,620,23,0,8,2
"924_925",2,70,9,263,36,117,13,9,261,26,0,9,0
"926_927",2,39,31,253,48,219,41,7,196,40,0,32,2
"927_928",2,41,24,431,99,352,26,17,294,31,5,15,6
"929_930",0,22,39,176,33,278,68,19,449,17,1,4,3
"930_931",0,6,34,211,26,333,42,18,67,1,1,2,5
"932_933",1,90,27,252,116,399,67,23,348,15,2,43,1
"933_934",0,47,22,277,76,384,84,16,354,32,0,9,0
"934_935",1,14,22,218,64,238,25,5,332,34,0,3,2
"935_936",1,23,35,166,69,431,79,6,182,14,5,14,4
"937_938",0,16,8,162,30,204,35,11,90,7,0,10,1
