"donor_id","CD8-positive, alpha-beta T cell","gamma-delta T cell","regulatory T cell","naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell","CD4-positive, alpha-beta cytotoxic T cell","CD4-positive, alpha-beta T cell","mucosal invariant T cell","double negative thymocyte"
"114_114",1,13,57,270,79,419,55,6,183,14,2,18,4
"116_116",0,37,21,90,16,331,67,8,445,53,0,6,0
"117_117",0,11,43,356,9,286,16,5,91,19,0,4,0
"119_119",1,24,17,160,126,346,75,20,106,4,1,38,6
"120_120",0,8,19,400,44,177,4,1,28,0,2,3,0
"121_121",3,1,30,269,22,231,52,12,192,10,0,15,0
"122_122",0,17,25,102,33,212,27,10,39,4,0,20,0
"123_123",0,14,17,197,91,282,43,10,117,1,3,11,0
"124_124",0,18,10,350,29,98,3,1,64,10,0,9,1
"125_125",0,1,39,560,68,158,18,3,82,10,0,2,2
"126_126",0,13,34,266,18,317,20,4,38,0,0,11,1
"127_127",0,12,35,540,31,178,5,0,31,0,1,11,8
"128_128",0,6,15,337,104,164,20,5,164,0,0,6,1
"129_129",0,15,17,293,144,178,10,10,163,3,0,5,0
"130_130",1,18,25,473,25,211,12,6,187,2,0,5,4
"131_131",0,4,24,203,27,239,15,5,56,1,0,3,0
"132_132",0,2,30,297,53,166,41,8,47,7,0,10,1
"133_133",0,10,27,34,21,165,33,8,88,0,1,1,0
"134_134",0,14,15,218,24,282,11,10,93,15,1,1,1
"137_137",0,25,19,421,73,398,8,22,159,74,0,5,0
"138_138",0,10,7,158,10,479,46,21,217,5,1,1,0
"139_139",0,12,12,66,15,181,17,5,244,29,0,3,2
"140_140",1,7,12,112,19,450,20,7,149,19,2,2,1
"141_141",0,7,13,230,85,375,64,33,150,14,0,18,1
"142_142",0,67,13,100,38,186,12,15,182,4,0,4,3
"144_144",0,12,15,158,64,272,32,17,129,3,1,9,0
"145_145",0,4,18,240,6,160,21,12,87,5,0,2,0
"146_146",1,2,12,102,3,197,23,4,97,3,0,2,2
"147_147",0,16,17,232,24,107,16,9,270,13,0,5,1
"148_148",1,8,17,205,25,255,25,18,106,4,0,12,0
"149_149",1,33,19,234,43,419,44,8,98,1,1,16,6
"150_150",0,5,39,351,61,262,22,18,144,2,0,2,1
"151_151",1,13,16,367,159,254,20,26,49,5,2,8,1
"152_152",0,9,29,126,28,361,22,14,135,3,0,5,0
"153_153",0,7,26,362,40,254,11,11,12,1,0,3,1
"154_154",0,52,14,220,47,297,23,20,197,24,1,10,2
"155_155",0,2,10,200,56,442,23,27,73,1,0,4,1
"156_156",0,7,21,165,13,319,48,23,238,11,0,5,1
"158_158",0,16,12,174,12,284,42,12,200,17,1,11,1
"159_159",0,5,24,274,101,327,26,27,135,4,1,10,3
"160_160",0,6,21,362,48,206,17,18,72,5,0,18,2
"161_161",0,10,16,213,68,194,24,39,162,16,2,14,2
"163_163",0,2,22,211,27,297,29,39,61,3,4,5,7
"164_165",1,6,14,184,83,263,27,19,25,0,1,2,2
"165_166",0,5,1,50,11,48,6,2,65,1,0,0,0
"166_167",0,20,16,260,272,213,33,3,55,4,0,12,0
"167_168",0,9,16,200,25,303,54,7,39,0,1,25,2
"168_169",0,15,6,40,16,102,23,8,246,14,0,2,0
"169_170",1,22,15,259,197,259,21,11,98,0,0,18,5
"170_171",1,10,21,221,67,310,49,29,108,0,1,32,1
"171_172",2,26,42,165,78,480,73,45,257,36,1,12,1
"172_173",0,24,14,167,102,265,49,21,143,5,2,15,5
